Column1,from,to,class,text
464,nvz,rtaycher,0,"catting the device and see if its producing output when you're not touching it, and also checking what kind of weird input devices are configured via your xorg.conf or xorg.log"
465,nvz,rtaycher,0,"but as you mentioned this is a thinkpad and I know them well, it has a tracknav (two pointing devices) I know as they get old and dirty they tend to have these kinds of issues"
466,rtaycher,nvz,0,The laptop is fairly new and clicking doesn't work on touchpad or tracknav buttons
467,rtaycher,nvz,0,/dev/input/mouse0 is silent but /dev/input/mouse1 gives 2800 ff28 00ff in hex over and over
468,nvz,rtaycher,0,"sounds like as I thought, something is wonky with the device itself.. either the connection is bad or its dirty..etc.."
469,nvz,rtaycher,0,I frequently had problems with my trackpoint doing the moving to the side thing until I cleaned it real good and put a new rubber tip on it.
470,nvz,rtaycher,0,never had the clicking issue though
471,rtaycher,nvz,0,thanks for the help.
472,rtaycher,nvz,0,I hope I can figure out the clicking issues
473,nvz,rtaycher,0,I'd move on to physical troubleshooting..
474,nvz,rtaycher,0,I'm a certified tech but its not really rocket science even if you aren't.
475,nvz,rtaycher,0,Thinkpads have clearly marked screw holes on the bottom for which ones take off the keyboard to get in there and check the connections and for the most part those keyboards can be washed in the sink.. heh just gotta dry well before reconnecting
476,nvz,rtaycher,0,often the ram sits right below the tracknav and that heat could've done damage as well.. depends on how old it is and how well taken care of
477,yogesh712harish,,0,Dr_willis: are you there
478,yogesh712harish,,0,can anybody help me for creating iso image.
479,erUSUL,,0,sorry typo
480,yogesh712harish,,0,hello guys can anyone help me for crating iso image in ubuntu 9.04
481,erUSUL,yogesh712harish,0,sudo dd if=/dev/sr0 of=thedisk.iso  && sudo chowo $USER:$USER thedisk.iso
482,erUSUL,yogesh712harish,0,sudo dd if=/dev/sr0 of=thedisk.iso  && sudo chown $USER:$USER thedisk.iso
483,yogesh712harish,erUSUL,0,i will try it
484,erUSUL,yogesh712harish,0,also you can use brasero or any other burning program to create an iso
485,yogesh712harish,,1,erUsul: thank you sir...
486,erUSUL,yogesh712harish,1,no problem
487,milosh,,0,anyone know a good windows password recovery tool?
488,hunahpu,milosh,0,"trinity-rescue-kit, is a distro designed specifically for your case (recovering/reseting win passwords)"
489,hunahpu,milosh,0,right click the .iso file and then click on 'burn to CD'
490,hunahpu,milosh,0,alternatively you can create a bootable USB flash memory (pendrive) with it.
491,hunahpu,milosh,0,(system - admin - usb creator)
492,hunahpu,milosh,0,"open brasero, it will display 5 big buttons, pick the last one (burn image)"
493,hunahpu,milosh,0,brasero should work just fine; burning an iso file is not that hard; I also like gnomebaker more though (it plays a cool sound when it ends!)
494,hunahpu,milosh,0,"I personally help people 'for fun', is better than just keeping my sit warm while I'm at work :)"
495,milosh,hunahpu,0,well that's really cool of you man
496,hunahpu,milosh,0,if you want to be extra-safe at 1-4x but it will take some time
497,hunahpu,milosh,0,"use 24.0 x,"
498,z3r0-c001,,0,i found  a solution to using internal webcam and mic online !!!!!
499,z3r0-c001,,0,!
500,z3r0-c001,,0,the internal web cam and mic were not working on youtube and other sites
501,z3r0-c001,,0,i was getting stuck on the accept deny pop up
502,z3r0-c001,,0,i know others were to
503,z3r0-c001,,0,yeah i know that now but no one ever told me that befor i search for a month for the answer
504,z3r0-c001,,0,lol
505,z3r0-c001,,0,thnx for the bubble pop
506,z3r0-c001,,0,i dont like flash cause it dont work on iphone
507,z3r0-c001,,0,now i have to replace iphone cause itunes dont agree wit linux
508,TyanColte,z3r0-c001,0,lmao no kidding unless adobe goes jailbreak i don't think we're ever going to have a flash solution for the iPhone
509,jason8,,0,why wont this danm thing install
510,jason8,,0,i cant get the installer to support my TV
511,jason8,,0,now something happend to my USB drive and it wont boot freakin boot error
512,jason8,,0,"bastid, what was the ISO i needed?"
513,jason8,,0,i need help with a simple install and knowone wants to help i get no love
514,jason8,,0,yeah
515,Zelozelos,jason8,0,"did u have a confusion about it, a queston or what?"
516,Zelozelos,jason8,0,"because a monitor physically connected works via hardware and some software, using a tv as a monitor is all software (unless its a monitor/tv that attaches via monitor cable)"
517,Zelozelos,jason8,0,"4 real, ure best option is to get out a real monitor, install, then install the tv/monitor"
518,Zelozelos,jason8,0,"maybe,"
519,jrib,Zelozelos,1,no problem
520,Zelozelos,,0,"i should explain this way, i want to backup only my background, panel, theme, gnome-do settings, and compiz."
521,Zelozelos,,0,im not worried about backing up my files because i do that manually on a 2nd hd as far as progs its a simple list
522,jrib,Zelozelos,0,what is your question?
523,Zelozelos,jrib,0,that is my q
524,Zelozelos,,0,"rofl, i want to backup only those settings, i ws wondering the best way"
525,jrib,Zelozelos,0,there's no question :/
526,Zelozelos,jrib,0,did u see the rest of my statements
527,jrib,Zelozelos,0,no.
528,jrib,Zelozelos,0,I just got here and read one line.
529,jrib,Zelozelos,0,in general with a large channel like #ubuntu you shouldn't split things up on multiple lines unless you're addressing someone
530,jrib,Zelozelos,0,copy them somewhere?
531,jrib,Zelozelos,0,Have you seen the backup page on the wiki for more complete backup solutions?
532,Zelozelos,,0,"if i was to use the terminal to open nautilus to a specific location say /home/user/Desktop, what would i type exactly?"
533,undecim,Zelozelos,0,nautilus /home/user/Desktop
534,undecim,Zelozelos,0,Purging won't erase your user settings.
535,undecim,Zelozelos,0,That you will find in .config/gnome-do.
536,undecim,Zelozelos,0,"If you kill gnome-do and then delete that folder, that will clear gnome-do's settings completely."
537,Zelozelos,undecim,0,is this the reccomended course?
538,Zelozelos,undecim,0,or should i attempt to find the error in the settings?
539,undecim,Zelozelos,0,Deleting the directory is what I would do if I was having problems with Do.
540,undecim,Zelozelos,0,Unless you really don't want to kill your history and settings.
541,undecim,Zelozelos,0,"Also, I was wrong about the directory."
542,undecim,Zelozelos,0,Here is a list of gnome-do directories I found in my home folder: http://paste.ubuntu.com/425627/
543,undecim,Zelozelos,0,to see any files that start with '.
544,undecim,Zelozelos,0,"', you need to press Ctrl + H in the file manager, or use the '-a' option with ls if you are in the terminal"
545,Zelozelos,undecim,0,"thank you, i usually just goto view, view hidden files in nautilus ;)"
546,undecim,Zelozelos,0,"Also, rename the directories or leave them in the trash instead of deleting them."
547,undecim,Zelozelos,0,You can try one directory at a time and see if it fixes whatever issues you are having.
548,Zelozelos,undecim,0,"good idea, thank you again"
549,Zelozelos,undecim,0,i bet its gonna be local/share ill start there
550,Zelozelos,,0,is there a totem alternative?
551,ppq,Zelozelos,0,"vlc, mplayer, ..."
552,Zelozelos,ppq,0,isnt totem the plugin for firefox to play movies- w mplayer?
553,ppq,Zelozelos,0,"yes, there's a totem plugin for browsers."
554,ppq,Zelozelos,0,but there are also vlc and mplayer plugins for browsers.
555,ppq,Zelozelos,0,for mplayer: gecko-mediaplayer
556,ppq,Zelozelos,0,the vlc plugin is mozilla-plugin-vlc
557,ppq,Zelozelos,0,totem doesn't use mplayer
558,Zelozelos,ppq,0,do i install it with apt-get install gecko?
559,ppq,Zelozelos,0,it's gecko-media-player
560,ppq,Zelozelos,0,"sorry, it's gecko-mediaplayer."
561,ppq,Zelozelos,1,you're welcome :)
562,xatcon,,1,hi there
563,xatcon,,0,there is prob wit my hp printer
564,xatcon,,0,i could not find my driver for that
565,xatcon,,0,so help me out
566,xatcon,,0,i m using ubuntu 9.04
567,Zelozelos,xatcon,0,"if you may have 2 be more specific about what the issue is, if someone knows they will help"
568,Zelozelos,xatcon,0,"did you try all the obvious trouble shooting fixes like turn off, turn on, reboot, disconnect, reconnect, check all connections etc?"
569,Zelozelos,xatcon,0,"how does it connect anyhow, usb or serial?"
570,Zelozelos,xatcon,0,"u shouldnt need 2 install any drivers, it should work asoon as u connect it, (as far as i know anyway)"
571,Zelozelos,xatcon,0,"oh and if u can, connect it to a diff usb port"
572,slakcphil,,0,<LittleZeasel> Berkeley Software Distribution
573,slakcphil,,0,<LittleZeasel> oh yeah and you build with ports... i miss my fbsd box.......
574,slakcphil,,0,<Zelozelos> does it not have a built in switch?
575,Zelozelos,slakcphil,0,i dont know much about any of it i got the surfboard one because the wireless ranger was wider
576,Zelozelos,slakcphil,0,i think theres 8 ethernet and its just between 1 desktop connected w ethernet and a lappies thats wireless
577,Zelozelos,slakcphil,0,deskie is upgraded from 9 to 10 and lappie has vista which i dont need/use and 10.10 freash install
578,Zelozelos,slakcphil,0,is it easy to use?
579,Zelozelos,slakcphil,0,how do i set up ssh?
580,Zelozelos,slakcphil,0,ahh ok i think i can fig it out from there....wasnt sure if ssh was a program or what
581,Zelozelos,slakcphil,0,ty
582,alex_under08,,1,hi
583,alex_under08,,0,how can I join the php channel?
584,alex_under08,,0,:(
585,alex_under08,,0,!ftp
586,alex_under08,,0,!GNOME
587,alex_under08,,0,"does anyone know basic php, here ?"
588,alex_under08,,0,like simple tasks as connecting to a database or so ?
589,lilleman,alex_under08,0,yes :)
590,alex_under08,lilleman,0,I tried to make a little script
591,alex_under08,lilleman,0,"but, I don't know it dosen't do nothing, not even the basic printf command from the beggining"
592,lilleman,alex_under08,0,"PM me for help, I'm getting lost in all these messages here :D"
593,budlust,,0,"when you install a package from synaptic, where is the source code saved to?"
594,geekphreak,budlust,0,package?
595,geekphreak,budlust,0,.var/cache/apt?
596,geekphreak,budlust,0,why not just apt-get it?
597,geekphreak,budlust,0,?
598,budlust,geekphreak,0,sry kinda new to this :D
599,geekphreak,budlust,0,why not just apt-get the appliation ?
600,budlust,geekphreak,0,will that get the source code?
601,geekphreak,budlust,0,it will let you run the program by just typing john :p
602,budlust,geekphreak,0,i need the source code to patch it
